0,73,40,0,0,0,79,41,0,0,0,0,0,1,1,1,4,5,1,5,3,3,6,1,2,4,2,1,2,3,5,2,3,5,6,4,1,4,2,1,4,3,5,2,5,16,4,94,52,0,0,0,73,21,0,0,78,16,0,0,68,2,0,0,63,0,0,0,0,0,1,3,61,0,17,4,2,4,1,1,1,2,1,6,2,3,4,4,5,3,6,2,2,2,3,7,2,2,1,1,1,1,2,1,2,2,6,4,4,5,3,6,3,110,2,0,0,88,60,0,78,39,0,88,65,0,70,20
81,73,40,0,0,0,79,41,0,0,0,0,0,1,1,1,4,5,1,5,3,3,6,1,2,4,2,1,2,3,5,2,3,5,6,4,1,4,2,1,4,3,5,2,5,16,4,94,52,0,0,0,73,21,0,0,78,16,0,0,68,2,0,0,63,0,0,0,0,0,1,3,61,0,0,0,12,0,0,3,0,2,0,1,2,2,3,5,4,2,5,0,3,6,10,6,1,3,4,2,1,2,3,3,0,3,1,1,2,3,2,99,7,0,1,3,102,5,0,90,57,0,61,6,0,0,0,0
81,98,0,0,73,50,0,0,0,0,0,0,5,3,0,2,8,0,1,3,2,2,2,3,1,1,1,4,2,2,2,1,2,2,2,1,4,2,6,4,1,3,1,3,8,2,1,1,74,0,2,82,31,0,0,0,78,28,0,0,72,25,0,3,0,1,85,0,0,0,0,0,0,79,0,0,12,0,0,3,0,2,0,1,2,2,3,5,4,2,5,0,3,6,10,6,1,3,4,2,1,2,3,3,0,3,1,1,2,3,2,99,7,0,1,3,102,5,0,90,57,0,61,6,0,0,0,0
25,98,0,0,73,50,0,0,0,0,0,0,5,3,0,2,8,0,1,3,2,2,2,3,1,1,1,4,2,2,2,1,2,2,2,1,4,2,6,4,1,3,1,3,8,2,1,1,74,0,2,82,31,0,0,0,78,28,0,0,72,25,0,3,0,1,85,0,0,0,0,0,0,79,0,0,0,0,2,0,5,0,1,1,1,2,1,1,1,10,3,1,1,9,3,1,5,10,3,3,2,1,1,1,7,2,4,5,5,10,8,2,97,26,0,89,49,0,0,0,96,51,0,0,88,0,0,75
25,66,8,0,0,89,64,0,0,0,0,0,0,5,3,0,3,1,1,6,2,3,4,4,3,2,1,5,4,3,3,4,2,1,7,5,2,4,2,2,1,5,1,2,6,2,98,29,0,0,4,98,55,0,0,74,26,0,0,0,0,94,36,0,0,0,0,89,0,0,0,0,71,35,0,0,0,0,2,0,5,0,1,1,1,2,1,1,1,10,3,1,1,9,3,1,5,10,3,3,2,1,1,1,7,2,4,5,5,10,8,2,97,26,0,89,49,0,0,0,96,51,0,0,88,0,0,75
77,66,8,0,0,89,64,0,0,0,0,0,0,5,3,0,3,1,1,6,2,3,4,4,3,2,1,5,4,3,3,4,2,1,7,5,2,4,2,2,1,5,1,2,6,2,98,29,0,0,4,98,55,0,0,74,26,0,0,0,0,94,36,0,0,0,0,89,0,0,0,0,71,35,0,0,0,0,6,1,1,0,3,1,4,3,3,5,4,1,3,9,2,1,10,1,0,4,0,7,1,1,4,2,7,4,5,2,3,5,6,89,49,0,0,87,0,0,63,44,0,84,63,0,0,80,27,0
77,0,0,0,95,28,0,0,0,0,0,0,0,0,2,0,1,2,1,2,1,2,1,2,7,2,1,5,5,4,2,6,3,8,3,0,3,5,5,2,1,6,3,3,1,5,1,90,69,0,0,60,7,0,0,1,82,0,22,0,81,15,0,0,71,11,0,0,5,0,0,0,74,11,0,0,0,0,6,1,1,0,3,1,4,3,3,5,4,1,3,9,2,1,10,1,0,4,0,7,1,1,4,2,7,4,5,2,3,5,6,89,49,0,0,87,0,0,63,44,0,84,63,0,0,80,27,0
34,0,0,0,95,28,0,0,0,0,0,0,0,0,2,0,1,2,1,2,1,2,1,2,7,2,1,5,5,4,2,6,3,8,3,0,3,5,5,2,1,6,3,3,1,5,1,90,69,0,0,60,7,0,0,1,82,0,22,0,81,15,0,0,71,11,0,0,5,0,0,0,74,11,9,0,0,10,0,0,8,2,1,1,8,3,1,3,4,10,3,3,1,2,7,3,2,1,2,4,1,3,7,3,3,2,3,2,2,3,92,78,0,0,0,1,89,8,0,0,87,17,0,85,29,0,0,0
34,0,73,2,0,0,0,66,0,0,0,0,0,3,0,0,7,4,0,2,5,4,3,1,7,4,3,2,6,7,5,2,4,5,5,2,3,6,3,3,7,0,4,2,2,5,5,84,66,0,0,0,92,39,0,0,76,53,0,0,0,83,36,0,0,0,80,0,0,31,0,1,3,76,9,0,0,10,0,0,8,2,1,1,8,3,1,3,4,10,3,3,1,2,7,3,2,1,2,4,1,3,7,3,3,2,3,2,2,3,92,78,0,0,0,1,89,8,0,0,87,17,0,85,29,0,0,0
47,0,73,2,0,0,0,66,0,0,0,0,0,3,0,0,7,4,0,2,5,4,3,1,7,4,3,2,6,7,5,2,4,5,5,2,3,6,3,3,7,0,4,2,2,5,5,84,66,0,0,0,92,39,0,0,76,53,0,0,0,83,36,0,0,0,80,0,0,31,0,1,3,76,6,0,0,0,3,5,1,0,1,0,4,13,4,1,3,2,3,2,2,1,6,4,4,0,4,4,6,6,2,1,4,4,2,5,1,3,3,100,41,0,0,1,98,3,0,0,83,27,0,73,23,0,0,0
47,85,6,0,0,82,8,0,0,4,0,0,1,0,1,3,2,1,5,4,3,1,3,4,4,8,4,2,3,3,2,3,3,1,2,2,2,2,4,2,2,1,5,3,3,4,3,42,1,0,2,0,76,0,0,0,76,0,0,69,48,0,0,0,71,0,0,43,0,0,80,0,0,8,0,0,0,0,3,5,1,0,1,0,4,13,4,1,3,2,3,2,2,1,6,4,4,0,4,4,6,6,2,1,4,4,2,5,1,3,3,100,41,0,0,1,98,3,0,0,83,27,0,73,23,0,0,0
0,85,6,0,0,82,8,0,0,4,0,0,1,0,1,3,2,1,5,4,3,1,3,4,4,8,4,2,3,3,2,3,3,1,2,2,2,2,4,2,2,1,5,3,3,4,3,42,1,0,2,0,76,0,0,0,76,0,0,69,48,0,0,0,71,0,0,43,0,0,80,0,0,8,0,3,2,0,0,0,3,3,2,3,3,0,4,6,1,6,5,3,4,3,2,1,3,3,2,4,2,4,5,2,4,4,3,3,4,3,2,1,107,8,0,0,0,108,17,0,67,0,0,0,0,102,0,0
0,60,0,0,0,81,66,0,0,0,0,0,3,1,3,3,1,1,2,1,5,4,1,3,1,4,5,3,3,2,1,7,4,2,2,5,3,3,4,3,2,7,1,4,4,79,57,0,0,7,0,88,10,0,0,78,0,0,74,43,0,0,0,78,0,0,0,0,0,78,0,0,0,0,0,3,2,0,0,0,3,3,2,3,3,0,4,6,1,6,5,3,4,3,2,1,3,3,2,4,2,4,5,2,4,4,3,3,4,3,2,1,107,8,0,0,0,108,17,0,67,0,0,0,0,102,0,0
0,60,0,0,0,81,66,0,0,0,0,0,3,1,3,3,1,1,2,1,5,4,1,3,1,4,5,3,3,2,1,7,4,2,2,5,3,3,4,3,2,7,1,4,4,79,57,0,0,7,0,88,10,0,0,78,0,0,74,43,0,0,0,78,0,0,0,0,0,78,0,0,0,0,0,2,0,4,6,4,2,8,16,3,2,1,4,6,2,5,3,1,10,5,2,2,7,3,2,2,3,3,2,2,2,6,4,2,6,92,34,0,0,0,0,105,0,0,3,72,0,68,48,0,0,0,88,0
47,0,0,78,4,0,0,0,69,0,0,0,0,0,1,2,0,1,2,1,2,1,2,2,2,5,4,4,4,2,1,0,4,2,1,2,2,4,7,3,3,2,4,2,4,81,26,6,0,2,85,18,0,0,79,56,0,0,0,0,75,5,0,0,0,77,0,0,0,0,0,83,45,0,0,2,0,4,6,4,2,8,16,3,2,1,4,6,2,5,3,1,10,5,2,2,7,3,2,2,3,3,2,2,2,6,4,2,6,92,34,0,0,0,0,105,0,0,3,72,0,68,48,0,0,0,88,0
47,0,0,78,4,0,0,0,69,0,0,0,0,0,1,2,0,1,2,1,2,1,2,2,2,5,4,4,4,2,1,0,4,2,1,2,2,4,7,3,3,2,4,2,4,81,26,6,0,2,85,18,0,0,79,56,0,0,0,0,75,5,0,0,0,77,0,0,0,0,0,83,45,0,6,3,0,0,1,2,10,1,0,5,4,4,1,8,2,14,5,2,3,4,0,5,5,3,4,3,1,2,4,3,2,3,20,11,5,3,1,3,97,13,0,0,88,63,0,0,0,91,48,0,80,3,0,0
36,0,0,0,86,35,0,0,0,0,0,0,0,1,3,2,1,4,3,3,1,8,2,3,4,4,6,2,2,3,3,4,3,6,2,1,7,2,2,5,2,7,6,5,4,0,33,84,2,0,77,55,0,0,0,77,27,0,0,69,34,0,15,0,0,75,0,0,0,1,71,0,0,0,6,3,0,0,1,2,10,1,0,5,4,4,1,8,2,14,5,2,3,4,0,5,5,3,4,3,1,2,4,3,2,3,20,11,5,3,1,3,97,13,0,0,88,63,0,0,0,91,48,0,80,3,0,0
